data,numero_contagi
0,0
1,15085
2,16806
3,17030
4,16632
5,15021
6,9503
7,15756
8,17959
9,12527
10,20497
11,21042
12,19215
13,12712
14,20677
15,23195
16,26109
17,28632
18,25120
19,24259
20,16213
21,30798
22,36293
23,44595
24,50599
25,54762
26,24883
27,30810
28,79313
29,98020
30,126888
31,144243
